,bedroom,bathroom,configuration,area,area_type,age_possession,property_type,sector_encoded,price
2101,14,14,14,6500.0,2.0,0.0,1.0,4.152083333333334,8.39
2102,5,5,5,2200.0,3.0,0.0,1.0,9.31625,11.25
2103,3,3,3,1630.0,2.0,0.0,1.0,3.154516129032258,2.3
2104,5,4,5,900.0,3.0,0.0,1.0,10.24962962962963,3.85
2105,4,3,4,900.0,3.0,0.0,1.0,10.24962962962963,4.25
2106,4,3,4,900.0,3.0,0.0,1.0,10.24962962962963,4.25
2107,3,4,3,2583.0,3.0,0.0,1.0,9.550147058823528,9.5
2108,4,5,4,3240.0,3.0,0.0,1.0,10.055652173913044,13.0
2109,4,4,4,2250.0,2.0,0.0,1.0,6.633333333333333,5.0
2110,4,4,4,2430.0,3.0,0.0,1.0,9.683529411764706,9.0
2111,6,7,6,3600.0,3.0,0.0,1.0,9.683529411764706,14.5
2112,5,6,5,7000.0,0.0,0.0,1.0,21.43235294117647,14.8
2113,2,2,2,1935.0,2.0,0.0,1.0,12.1676,9.5
2114,5,5,5,8500.0,0.0,0.0,1.0,10.318928571428572,15.75
2115,5,6,5,9000.0,3.0,0.0,1.0,9.550147058823528,29.0
2116,5,5,5,3105.0,3.0,0.0,1.0,2.1345454545454543,10.0
2117,5,5,5,5400.0,0.0,0.0,1.0,9.683529411764706,10.0
2118,5,6,5,3600.0,3.0,0.0,1.0,9.683529411764706,15.0
2119,5,5,5,3150.0,3.0,0.0,1.0,8.949036144578313,18.0
2120,3,3,3,2367.0,3.0,0.0,1.0,6.006,8.5
2121,9,9,9,2700.0,3.0,0.0,1.0,8.92,15.0
2122,4,4,4,3285.0,3.0,0.0,1.0,9.550147058823528,11.5
2123,11,11,11,549.0,3.0,0.0,1.0,8.013333333333334,3.49
2124,9,9,9,3762.0,3.0,0.0,1.0,17.0,14.5
2125,9,9,9,2700.0,0.0,0.0,1.0,17.0,11.5
2126,3,3,3,1935.0,3.0,0.0,1.0,8.013333333333334,8.0
2127,4,4,4,2151.0,3.0,0.0,1.0,6.5,6.5
2128,3,3,3,4500.0,2.0,0.0,1.0,6.4413829787234045,7.88
2129,3,3,3,4830.0,3.0,0.0,1.0,6.4413829787234045,8.35
2130,3,3,3,4830.0,3.0,0.0,1.0,6.4413829787234045,8.33
2131,3,3,3,4830.0,3.0,0.0,1.0,6.4413829787234045,8.35
2132,3,3,3,4830.0,3.0,0.0,1.0,6.4413829787234045,8.34
2133,3,3,3,4500.0,3.0,0.0,1.0,6.4413829787234045,7.9
2134,3,3,3,4500.0,2.0,0.0,1.0,6.4413829787234045,7.9
2135,3,3,3,4500.0,2.0,0.0,1.0,6.4413829787234045,7.89
2136,3,3,3,4500.0,3.0,0.0,1.0,6.4413829787234045,7.89
2137,3,3,3,4500.0,2.0,0.0,1.0,6.4413829787234045,7.9
2138,30,27,30,4843.0,3.0,0.0,1.0,5.243333333333333,10.0
2139,9,9,9,2502.0,3.0,0.0,1.0,6.006,8.6
2140,5,5,5,6325.0,0.0,0.0,1.0,5.9,8.25
2141,5,6,5,3150.0,3.0,0.0,1.0,8.949036144578313,18.0
2142,6,6,6,2430.0,2.0,0.0,1.0,5.5,6.0
2143,3,2,3,2259.0,3.0,0.0,1.0,10.055652173913044,7.5
2144,6,7,6,4500.0,0.0,0.0,1.0,21.43235294117647,18.0
2145,7,8,7,9500.0,3.0,0.0,1.0,21.43235294117647,37.75
