,property_name,bedroom,bathroom,configuration,area,area_type,facing,age_possession,property_type,price_cr,sector_encoded,Luxury_category,Floor_category
2161,Sector 109,4,4,4,2214.0,Super Built-up,Unknown,RESALE,House,10.0,9.683529411764706,Very High,Low Floor
2162,Sector 109,5,5,5,272.0,Super Built-up,North-East,RESALE,House,9.51,9.683529411764706,Low,Low Floor
2163,Sector 46,3,3,3,2430.0,Super Built-up,Unknown,RESALE,House,9.6,10.24962962962963,Medium,Low Floor
2164,Uppals Southend,3,3,3,2250.0,Super Built-up,North,RESALE,House,7.25,10.275,Low,Low Floor
2165,Uppals Southend,5,5,5,2700.0,Super Built-up,Unknown,RESALE,House,11.5,10.275,High,Low Floor
2166,Palam Vihar,8,8,8,3240.0,Covered,East,RESALE,House,7.5,6.513333333333333,Low,Low Floor
2167,Sector 43,16,18,16,2367.0,Super Built-up,Unknown,RESALE,House,12.0,7.4422727272727265,Low,Low Floor
2168,Sector 42,9,9,9,540.0,Super Built-up,East,RESALE,House,4.5,30.463636363636365,Medium,Low Floor
2169,S Block DLF Phase 3,5,6,5,4500.0,Super Built-up,North-East,RESALE,House,13.0,11.93,Low,Low Floor
2170,Sector 66,5,4,5,3240.0,Super Built-up,North-East,RESALE,House,17.5,8.949036144578313,Low,Low Floor
2171,Nirvana Country,4,4,4,3240.0,Super Built-up,Unknown,RESALE,House,14.49,9.31625,Medium,Low Floor
2172,Sector 33,4,4,4,9000.0,Super Built-up,Unknown,RESALE,House,34.95,13.652424242424244,Very High,Low Floor
2173,Sector 66,6,5,6,3240.0,Covered,East,RESALE,House,18.0,8.949036144578313,Medium,Low Floor
2174,Sushant Lok 3 Extension,5,5,5,2700.0,Covered,North-East,RESALE,House,7.5,8.4,Medium,Low Floor
2175,Sector 54,5,5,5,3240.0,Super Built-up,North,RESALE,House,28.0,22.56153846153846,Low,Low Floor
2176,"Block C, Sushant Lok Phase 1",11,11,11,540.0,Super Built-up,North-East,RESALE,House,3.6,8.013333333333334,Low,Low Floor
2177,Sector 23A,11,11,11,2367.0,Super Built-up,East,RESALE,House,6.0,5.17,Low,Low Floor
2178,Sector 111,7,9,7,7000.0,Covered,North-East,RESALE,House,17.0,5.433,Medium,Low Floor
2179,Sector 31,4,3,4,1449.0,Super Built-up,Unknown,RESALE,House,6.25,8.225,Low,Low Floor
2180,Sector 72,5,5,5,8500.0,Built-up,Unknown,RESALE,House,16.5,10.318928571428572,High,Low Floor
2181,Palam Vihar,6,5,6,1557.0,Super Built-up,North,RESALE,House,4.5,6.513333333333333,Medium,Low Floor
2182,Sector 109,5,6,5,3600.0,Covered,East,RESALE,House,14.5,9.683529411764706,Medium,Low Floor
2183,Sector 109,5,7,5,3600.0,Covered,East,RESALE,House,14.5,9.683529411764706,Medium,Low Floor
2184,Sector 72,5,5,5,8500.0,Built-up,Unknown,RESALE,House,14.5,10.318928571428572,Medium,Low Floor
